Year,Sport,Rank,Country,Gold,Silver,Bronze,Total
2018,Gymnastics,3,Chinese Taipei,2,1,1,4
2018,Gymnastics,4,Kazakhstan,2,0,1,3
2018,Gymnastics,5,North Korea,1,2,3,6
2018,Gymnastics,6,Hong Kong,1,0,0,1
2018,Gymnastics,7,Japan,0,4,3,7
2018,Gymnastics,8,Uzbekistan,0,3,0,3
2018,Gymnastics,9,Indonesia,0,1,1,2
2018,Handball,1,South Korea,1,0,1,2
2018,Handball,2,Qatar,1,0,0,1
2018,Handball,3,Bahrain,0,1,0,1
2018,Handball,3,China,0,1,0,1
2018,Handball,5,Japan,0,0,1,1
2018,Jet ski,1,Thailand,1,2,2,5
2018,Jet ski,2,Indonesia,1,1,1,3
2018,Jet ski,3,United Arab Emirates,1,1,0,2
2018,Jet ski,4,Cambodia,1,0,1,2
2018,Ju-jitsu,1,United Arab Emirates,2,5,2,9
2018,Ju-jitsu,2,Kazakhstan,2,0,3,5
2018,Ju-jitsu,3,Jordan,1,1,3,5
2018,Ju-jitsu,4,Kyrgyzstan,1,0,2,3
2018,Ju-jitsu,5,South Korea,1,0,1,2
2018,Ju-jitsu,6,Cambodia,1,0,0,1
2018,Ju-jitsu,7,Singapore,0,1,0,1
2018,Ju-jitsu,8,Mongolia,0,0,1,1
2018,Ju-jitsu,8,Philippines,0,0,1,1
2018,Ju-jitsu,8,Thailand,0,0,1,1
2018,Ju-jitsu,8,Turkmenistan,0,0,1,1
2018,Ju-jitsu,8,Vietnam,0,0,1,1
2018,Judo,1,Japan,9,3,1,13
2018,Judo,10,Chinese Taipei,0,0,2,2
2018,Judo,10,Kyrgyzstan,0,0,2,2
2018,Judo,10,Tajikistan,0,0,2,2
2018,Judo,10,Thailand,0,0,2,2
2018,Judo,14,United Arab Emirates,0,0,1,1
2018,Judo,2,South Korea,4,6,3,13
2018,Judo,3,Kazakhstan,1,1,3,5
2018,Judo,4,Uzbekistan,1,0,3,4
2018,Judo,5,Mongolia,0,2,5,7
2018,Judo,6,Iran,0,1,1,2
2018,Judo,6,North Korea,0,1,1,2
2018,Judo,8,Philippines,0,1,0,1
2018,Judo,9,China,0,0,4,4
2018,Kabaddi,1,Iran,2,0,0,2
2018,Kabaddi,2,India,0,1,1,2
2018,Kabaddi,3,South Korea,0,1,0,1
2018,Kabaddi,4,Chinese Taipei,0,0,1,1
2018,Kabaddi,4,Pakistan,0,0,1,1
2018,Kabaddi,4,Thailand,0,0,1,1
2018,Karate,1,Japan,4,0,2,6
2018,Karate,11,Vietnam,0,1,0,1
2018,Karate,12,Hong Kong,0,0,2,2
2018,Karate,12,Jordan,0,0,2,2
2018,Karate,14,Malaysia,0,0,1,1
2018,Karate,14,Pakistan,0,0,1,1
2018,Karate,14,Philippines,0,0,1,1
2018,Karate,14,South Korea,0,0,1,1
2018,Karate,14,Thailand,0,0,1,1
2018,Karate,2,Iran,2,3,3,8
2018,Karate,3,Chinese Taipei,2,1,2,5
2018,Karate,4,China,1,2,0,3
2018,Karate,5,Kazakhstan,1,1,1,3
2018,Karate,6,Kuwait,1,1,0,2
2018,Karate,7,Indonesia,1,0,3,4
2018,Karate,8,Uzbekistan,0,1,2,3
2018,Karate,9,Macau,0,1,1,2
2018,Karate,9,Saudi Arabia,0,1,1,2
2018,Kurash,1,Uzbekistan,5,2,4,11
2018,Kurash,2,Iran,1,1,2,4
2018,Kurash,3,Mongolia,0,2,0,2
2018,Kurash,4,India,0,1,1,2
2018,Kurash,5,Tajikistan,0,1,0,1
2018,Kurash,6,Chinese Taipei,0,0,2,2
2018,Kurash,7,Afghanistan,0,0,1,1
2018,Kurash,7,Indonesia,0,0,1,1
2018,Kurash,7,Kazakhstan,0,0,1,1
2018,Kurash,7,Kuwait,0,0,1,1
2018,Kurash,7,Vietnam,0,0,1,1
2018,Modern pentathlon,1,South Korea,1,2,1,4
2018,Modern pentathlon,2,China,1,0,1,2
2018,Paragliding,1,Indonesia,2,1,3,6
2018,Paragliding,2,Thailand,2,1,1,4
2018,Paragliding,3,South Korea,1,2,2,5
2018,Paragliding,4,Japan,1,1,0,2
2018,Paragliding,5,Nepal,0,1,0,1
2018,Pencak silat,1,Indonesia,14,0,1,15
2018,Pencak silat,2,Vietnam,2,7,3,12
2018,Pencak silat,3,Malaysia,0,4,4,8
2018,Pencak silat,4,Thailand,0,2,5,7
2018,Pencak silat,5,Singapore,0,2,3,5
2018,Pencak silat,6,Laos,0,1,2,3
2018,Pencak silat,7,Philippines,0,0,4,4
2018,Pencak silat,8,Kyrgyzstan,0,0,2,2
2018,Pencak silat,9,Iran,0,0,1,1
2018,Pencak silat,9,Uzbekistan,0,0,1,1
2018,Roller sports,1,Japan,3,2,0,5
2018,Roller sports,2,Chinese Taipei,2,0,1,3
2018,Roller sports,3,Philippines,1,0,0,1
2018,Roller sports,4,Indonesia,0,2,2,4
2018,Roller sports,5,South Korea,0,1,2,3
2018,Roller sports,6,China,0,1,1,2
2018,Rowing,1,China,9,1,0,10
2018,Rowing,10,Chinese Taipei,0,1,0,1
2018,Rowing,11,Thailand,0,0,3,3
2018,Rowing,12,Kazakhstan,0,0,1,1
2018,Rowing,2,South Korea,1,4,1,6
2018,Rowing,3,Indonesia,1,2,2,5
2018,Rowing,4,Uzbekistan,1,2,1,4
2018,Rowing,5,Vietnam,1,1,0,2
2018,Rowing,6,India,1,0,2,3
2018,Rowing,6,Japan,1,0,2,3
2018,Rowing,8,Iran,0,3,1,4
2018,Rowing,9,Hong Kong,0,1,2,3
2018,Rugby sevens,1,Japan,1,1,0,2
2018,Rugby sevens,2,Hong Kong,1,0,0,1
2018,Rugby sevens,3,China,0,1,0,1
2018,Rugby sevens,4,Kazakhstan,0,0,1,1
2018,Rugby sevens,4,South Korea,0,0,1,1
2018,Sailing,1,Japan,4,0,0,4
2018,Sailing,2,China,3,4,0,7
2018,Sailing,3,Malaysia,1,1,3,5
2018,Sailing,4,South Korea,1,1,1,3
2018,Sailing,5,Singapore,1,0,1,2
2018,Sailing,6,Hong Kong,0,3,0,3
2018,Sailing,7,India,0,1,2,3
2018,Sailing,8,Thailand,0,0,3,3
2018,Sambo,1,Kazakhstan,2,0,3,5
2018,Sambo,2,Mongolia,1,2,1,4
2018,Sambo,3,Uzbekistan,1,1,2,4
2018,Sambo,4,Tajikistan,0,1,1,2
2018,Sambo,5,Japan,0,0,1,1
2018,Sepak takraw,1,Thailand,4,0,0,4
2018,Sepak takraw,2,Indonesia,1,1,3,5
2018,Sepak takraw,3,Malaysia,1,1,0,2
2018,Sepak takraw,4,Vietnam,0,1,2,3
2018,Sepak takraw,5,Japan,0,1,1,2
2018,Sepak takraw,5,Laos,0,1,1,2
2018,Sepak takraw,5,South Korea,0,1,1,2
2018,Sepak takraw,8,Singapore,0,0,2,2
2018,Sepak takraw,9,India,0,0,1,1
2018,Sepak takraw,9,Myanmar,0,0,1,1
2018,Shooting,1,China,8,5,2,15
2018,Shooting,10,Japan,0,1,1,2
2018,Shooting,11,Indonesia,0,1,0,1
2018,Shooting,11,Saudi Arabia,0,1,0,1
2018,Shooting,13,Vietnam,0,0,2,2
2018,Shooting,14,Iran,0,0,1,1
2018,Shooting,14,Kazakhstan,0,0,1,1
2018,Shooting,14,Qatar,0,0,1,1
2018,Shooting,14,United Arab Emirates,0,0,1,1
2018,Shooting,2,South Korea,3,4,5,12
2018,Shooting,3,India,2,4,3,9
2018,Shooting,4,Chinese Taipei,2,1,1,4
2018,Shooting,5,Mongolia,1,1,1,3
2018,Shooting,6,North Korea,1,1,0,2
2018,Shooting,6,Thailand,1,1,0,2
2018,Shooting,8,Lebanon,1,0,1,2
2018,Shooting,9,Kuwait,1,0,0,1
2018,Soft tennis,1,South Korea,2,2,2,6
2018,Soft tennis,2,Japan,2,1,1,4
2018,Soft tennis,3,Chinese Taipei,1,1,2,4
2018,Soft tennis,4,Indonesia,0,1,3,4
2018,Soft tennis,5,China,0,0,2,2
2018,Softball,1,Japan,1,0,0,1
2018,Softball,2,Chinese Taipei,0,1,0,1
2018,Softball,3,China,0,0,1,1
2018,Sport climbing,1,Indonesia,3,2,1,6
2018,Sport climbing,2,Japan,1,1,1,3
2018,Sport climbing,2,South Korea,1,1,1,3
2018,Sport climbing,4,Iran,1,0,0,1
2018,Sport climbing,5,China,0,2,3,5
2018,Squash,1,Hong Kong,2,2,0,4
2018,Squash,2,Malaysia,2,1,2,5
2018,Squash,3,India,0,1,4,5
2018,Squash,4,Japan,0,0,1,1
2018,Squash,4,Pakistan,0,0,1,1
2018,Swimming,1,Japan,19,20,13,52
2018,Swimming,2,China,19,17,14,50
2018,Swimming,3,Singapore,2,1,3,6
2018,Swimming,4,South Korea,1,1,4,6
2018,Swimming,5,Hong Kong,0,1,2,3
2018,Swimming,6,Vietnam,0,1,1,2
2018,Swimming,7,Kazakhstan,0,0,4,4
2018,Table tennis,1,China,5,3,0,8
2018,Table tennis,2,South Korea,0,1,3,4
2018,Table tennis,3,North Korea,0,1,0,1
2018,Table tennis,4,Hong Kong,0,0,2,2
2018,Table tennis,4,India,0,0,2,2
2018,Table tennis,6,Chinese Taipei,0,0,1,1
2018,Table tennis,6,Iran,0,0,1,1
2018,Table tennis,6,Singapore,0,0,1,1
2018,Taekwondo,1,South Korea,5,5,2,12
2018,Taekwondo,10,Philippines,0,0,3,3
2018,Taekwondo,11,Japan,0,0,2,2
2018,Taekwondo,12,Lebanon,0,0,1,1
2018,Taekwondo,12,Malaysia,0,0,1,1
2018,Taekwondo,12,Vietnam,0,0,1,1
2018,Taekwondo,2,Iran,2,3,2,7
2018,Taekwondo,3,Thailand,2,0,2,4
2018,Taekwondo,4,Uzbekistan,1,3,2,6
2018,Taekwondo,5,China,1,2,2,5
2018,Taekwondo,6,Chinese Taipei,1,0,3,4
2018,Taekwondo,6,Jordan,1,0,3,4
2018,Taekwondo,8,Indonesia,1,0,0,1
2018,Taekwondo,9,Kazakhstan,0,1,4,5
2018,Tennis,1,China,2,2,0,4
2018,Tennis,2,India,1,0,2,3
2018,Tennis,3,Indonesia,1,0,0,1
2018,Tennis,3,Uzbekistan,1,0,0,1
2018,Tennis,5,Kazakhstan,0,1,2,3
2018,Tennis,6,Chinese Taipei,0,1,1,2
2018,Tennis,7,Thailand,0,1,0,1
2018,Tennis,8,Japan,0,0,4,4
2018,Tennis,9,South Korea,0,0,1,1
2018,Triathlon,1,Japan,3,0,0,3
2018,Triathlon,2,China,0,1,1,2
2018,Triathlon,3,Kazakhstan,0,1,0,1
2018,Triathlon,3,South Korea,0,1,0,1
2018,Triathlon,5,Hong Kong,0,0,1,1
2018,Triathlon,5,Macau,0,0,1,1
2018,Volleyball,1,China,1,0,0,1
2018,Volleyball,1,Iran,1,0,0,1
2018,Volleyball,3,South Korea,0,1,1,2
2018,Volleyball,4,Thailand,0,1,0,1
2018,Volleyball,5,Chinese Taipei,0,0,1,1
2018,Water polo,1,Kazakhstan,1,1,0,2
2018,Water polo,2,China,1,0,0,1
2018,Water polo,3,Japan,0,1,1,2
2018,Water polo,4,Iran,0,0,1,1
2018,Weightlifting,1,North Korea,8,1,1,10
2018,Weightlifting,10,Thailand,0,1,6,7
2018,Weightlifting,11,Qatar,0,1,0,1
2018,Weightlifting,11,Turkmenistan,0,1,0,1
2018,Weightlifting,13,Japan,0,0,1,1
2018,Weightlifting,13,Kyrgyzstan,0,0,1,1
2018,Weightlifting,2,Iran,2,1,1,4
2018,Weightlifting,3,Uzbekistan,1,2,2,5
2018,Weightlifting,4,Indonesia,1,1,1,3
2018,Weightlifting,5,Chinese Taipei,1,1,0,2
2018,Weightlifting,5,Iraq,1,1,0,2
2018,Weightlifting,7,Philippines,1,0,0,1
2018,Weightlifting,8,South Korea,0,3,2,5
2018,Weightlifting,9,Vietnam,0,2,0,2
2018,Wrestling,1,Iran,5,0,3,8
2018,Wrestling,10,Kazakhstan,0,4,6,10
2018,Wrestling,11,Lebanon,0,1,0,1
2018,Wrestling,12,Turkmenistan,0,0,1,1
2018,Wrestling,12,Vietnam,0,0,1,1
2018,Wrestling,2,China,2,3,1,6
2018,Wrestling,3,Uzbekistan,2,1,3,6
2018,Wrestling,4,North Korea,2,1,2,5
2018,Wrestling,5,South Korea,2,0,6,8
2018,Wrestling,6,India,2,0,1,3
2018,Wrestling,7,Japan,1,4,5,10
2018,Wrestling,8,Kyrgyzstan,1,3,4,8
2018,Wrestling,9,Mongolia,1,1,3,5
2018,Wushu,1,China,10,2,0,12
2018,Wushu,10,India,0,0,4,4
2018,Wushu,11,Chinese Taipei,0,0,2,2
2018,Wushu,11,Philippines,0,0,2,2
2018,Wushu,13,Afghanistan,0,0,1,1
2018,Wushu,13,Myanmar,0,0,1,1
2018,Wushu,13,Thailand,0,0,1,1
2018,Wushu,2,Iran,2,4,0,6
2018,Wushu,3,Indonesia,1,1,3,5
2018,Wushu,4,Macau,1,1,0,2
2018,Wushu,5,Vietnam,0,2,3,5
2018,Wushu,6,South Korea,0,1,2,3
2018,Wushu,7,Hong Kong,0,1,1,2
2018,Wushu,8,Japan,0,1,0,1
2018,Wushu,8,Uzbekistan,0,1,0,1
